Components,Temperature K,Pressure kPa,Electrical conductivity S/m,Delta elec,SMILES
ethylammonium nitrate,315.026,101.325,3.6776,0.015,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,315.125,101.325,3.6867,0.015,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,315.222,101.325,3.6951,0.015,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,315.321,101.325,3.7039,0.015,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,315.42,101.325,3.7127,0.015,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,315.518,101.325,3.7214,0.015,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,315.618,101.325,3.7301,0.015,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,315.716,101.325,3.7388,0.015,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,315.813,101.325,3.7474,0.015,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,315.911,101.325,3.7563,0.015,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,316.01,101.325,3.765,0.015,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,316.108,101.325,3.7738,0.015,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,317.231,101.325,3.875,0.015,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,318.195,101.325,3.9628,0.016,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,319.154,101.325,4.0512,0.016,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,320.105,101.325,4.1409,0.017,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,321.047,101.325,4.2289,0.017,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,321.987,101.325,4.3175,0.017,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,322.921,101.325,4.4065,0.018,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,323.85,101.325,4.496,0.018,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,324.787,101.325,4.5895,0.018,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,325.722,101.325,4.6786,0.019,[N+](=O)([O-])[O-].C(C)[NH3+]
1-ethyl-3-methylimidazolium tetrafluoroborate,293.15,101.325,1.22,0.01,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,298.15,101.325,1.38,0.01,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,303.15,101.325,1.54,0.02,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,308.15,101.325,1.74,0.02,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,313.15,101.325,1.99,0.02,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,323.15,101.325,2.55,0.02,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,333.15,101.325,2.95,0.02,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,343.15,101.325,3.65,0.03,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,353.15,101.325,4.35,0.03,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,363.15,101.325,5.2,0.03,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,373.15,101.325,5.9,0.03,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,293.15,101.325,1.16,0.01,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,298.15,101.325,1.31,0.01,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,303.15,101.325,1.44,0.01,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,308.15,101.325,1.63,0.02,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,313.15,101.325,1.8,0.02,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,323.15,101.325,2.29,0.02,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,333.15,101.325,2.6,0.02,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,343.15,101.325,3.05,0.02,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,353.15,101.325,3.65,0.02,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,363.15,101.325,4.05,0.02,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,373.15,101.325,4.55,0.02,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-butylpyridinium tetrafluoroborate,263.0,101.325,0.01019,0.00082,F[B-](F)(F)F.C(CCC)[N+]1=CC=CC=C1
1-butylpyridinium tetrafluoroborate,273.0,101.325,0.0303,0.0024,F[B-](F)(F)F.C(CCC)[N+]1=CC=CC=C1
1-butylpyridinium tetrafluoroborate,283.0,101.325,0.0712,0.0057,F[B-](F)(F)F.C(CCC)[N+]1=CC=CC=C1
1-butylpyridinium tetrafluoroborate,293.0,101.325,0.142,0.011,F[B-](F)(F)F.C(CCC)[N+]1=CC=CC=C1
1-butylpyridinium tetrafluoroborate,303.0,101.325,0.25,0.02,F[B-](F)(F)F.C(CCC)[N+]1=CC=CC=C1
1-butylpyridinium tetrafluoroborate,313.0,101.325,0.402,0.032,F[B-](F)(F)F.C(CCC)[N+]1=CC=CC=C1
1-butylpyridinium tetrafluoroborate,323.0,101.325,0.602,0.048,F[B-](F)(F)F.C(CCC)[N+]1=CC=CC=C1
1-butylpyridinium tetrafluoroborate,333.0,101.325,0.851,0.068,F[B-](F)(F)F.C(CCC)[N+]1=CC=CC=C1
1-butylpyridinium tetrafluoroborate,343.0,101.325,1.151,0.092,F[B-](F)(F)F.C(CCC)[N+]1=CC=CC=C1
1-butylpyridinium tetrafluoroborate,353.0,101.325,1.5,0.12,F[B-](F)(F)F.C(CCC)[N+]1=CC=CC=C1
1-butylpyridinium tetrafluoroborate,363.0,101.325,1.895,0.15,F[B-](F)(F)F.C(CCC)[N+]1=CC=CC=C1
1-butylpyridinium tetrafluoroborate,373.0,101.325,2.334,0.19,F[B-](F)(F)F.C(CCC)[N+]1=CC=CC=C1
1-ethyl-3-methylimidazolium tetrafluoroborate,263.0,101.325,0.263,0.021,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,273.0,101.325,0.476,0.038,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,283.0,101.325,0.77,0.062,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,293.0,101.325,1.1433,0.091,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,303.0,101.325,1.592,0.13,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,313.0,101.325,2.109,0.17,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,323.0,101.325,2.686,0.21,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,333.0,101.325,3.314,0.27,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,343.0,101.325,3.985,0.32,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,353.0,101.325,4.691,0.38,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,363.0,101.325,5.425,0.43,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,373.0,101.325,6.18,0.49,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,298.1,101.325,1.4,0.04,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-propyl-3-methylimidazolium tetrafluoroborate,298.1,101.325,0.59,0.06,F[B-](F)(F)F.C(CC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium tetrafluoroborate,298.1,101.325,0.35,0.06,F[B-](F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium methanesulfonate,278.4,101.325,0.06,0.01,CS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium methanesulfonate,283.45,101.325,0.1,0.01,CS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium methanesulfonate,288.45,101.325,0.14,0.02,CS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium methanesulfonate,298.45,101.325,0.27,0.03,CS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium methanesulfonate,313.35,101.325,0.55,0.06,CS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium methanesulfonate,328.15,101.325,0.97,0.1,CS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium methanesulfonate,334.05,101.325,1.19,0.12,CS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium methanesulfonate,348.15,101.325,1.77,0.18,CS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium trifluoromethanesulfonate,283.15,101.325,0.53,0.05,FC(S(=O)(=O)[O-])(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium trifluoromethanesulfonate,298.35,101.325,0.93,0.09,FC(S(=O)(=O)[O-])(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium trifluoromethanesulfonate,313.45,101.325,1.43,0.14,FC(S(=O)(=O)[O-])(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium trifluoromethanesulfonate,328.25,101.325,2.05,0.21,FC(S(=O)(=O)[O-])(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium trifluoromethanesulfonate,347.35,101.325,2.98,0.3,FC(S(=O)(=O)[O-])(F)F.C(C)N1C=[N+](C=C1)C
3-ethylthiazolium trifluoromethanesulfonate,288.45,101.325,0.27,0.03,FC(S(=O)(=O)[O-])(F)F.C(C)[N+]1=CSC=C1
3-ethylthiazolium trifluoromethanesulfonate,298.55,101.325,0.43,0.04,FC(S(=O)(=O)[O-])(F)F.C(C)[N+]1=CSC=C1
3-ethylthiazolium trifluoromethanesulfonate,313.55,101.325,0.73,0.07,FC(S(=O)(=O)[O-])(F)F.C(C)[N+]1=CSC=C1
3-ethylthiazolium trifluoromethanesulfonate,328.25,101.325,1.11,0.11,FC(S(=O)(=O)[O-])(F)F.C(C)[N+]1=CSC=C1
3-ethylthiazolium trifluoromethanesulfonate,348.05,101.325,1.82,0.18,FC(S(=O)(=O)[O-])(F)F.C(C)[N+]1=CSC=C1
3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),298.55,101.325,0.27,0.03,FC(S(=O)(=O)[O-])(F)F.C(CCC)[N+]1=CN(C=C1)CC
1-butyl-3-ethylimidazolium mesylate,298.55,101.325,0.64,0.06,S(C)(=O)(=O)[O-].C(CCC)N1C=[N+](C=C1)CC
1-ethyl-3-methylimidazolium methanesulfonate,277.9,101.325,0.067,0.007,CS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium methanesulfonate,283.0,101.325,0.099,0.01,CS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium methanesulfonate,288.2,101.325,0.143,0.014,CS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium methanesulfonate,298.1,101.325,0.263,0.026,CS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium methanesulfonate,313.1,101.325,0.56,0.06,CS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium methanesulfonate,328.4,101.325,0.98,0.1,CS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium methanesulfonate,334.2,101.325,1.19,0.12,CS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium methanesulfonate,348.3,101.325,1.75,0.18,CS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium trifluoromethanesulfonate,283.0,101.325,0.54,0.05,FC(S(=O)(=O)[O-])(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium trifluoromethanesulfonate,298.3,101.325,0.92,0.09,FC(S(=O)(=O)[O-])(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium trifluoromethanesulfonate,313.2,101.325,1.44,0.14,FC(S(=O)(=O)[O-])(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium trifluoromethanesulfonate,328.3,101.325,2.06,0.21,FC(S(=O)(=O)[O-])(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium trifluoromethanesulfonate,347.5,101.325,2.99,0.3,FC(S(=O)(=O)[O-])(F)F.C(C)N1C=[N+](C=C1)C
3-ethylthiazolium trifluoromethanesulfonate,288.1,101.325,0.28,0.03,FC(S(=O)(=O)[O-])(F)F.C(C)[N+]1=CSC=C1
3-ethylthiazolium trifluoromethanesulfonate,298.0,101.325,0.43,0.04,FC(S(=O)(=O)[O-])(F)F.C(C)[N+]1=CSC=C1
3-ethylthiazolium trifluoromethanesulfonate,313.0,101.325,0.73,0.07,FC(S(=O)(=O)[O-])(F)F.C(C)[N+]1=CSC=C1
3-ethylthiazolium trifluoromethanesulfonate,328.2,101.325,1.13,0.11,FC(S(=O)(=O)[O-])(F)F.C(C)[N+]1=CSC=C1
3-ethylthiazolium trifluoromethanesulfonate,348.2,101.325,1.87,0.19,FC(S(=O)(=O)[O-])(F)F.C(C)[N+]1=CSC=C1
1-butyl-3-ethylimidazolium mesylate,298.1,101.325,0.055,0.006,S(C)(=O)(=O)[O-].C(CCC)N1C=[N+](C=C1)CC
1-ethyl-3-methylimidazolium methanesulfonate,298.1,101.325,0.267,0.027,CS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C
3-ethylthiazolium trifluoromethanesulfonate,298.1,101.325,0.428,0.043,FC(S(=O)(=O)[O-])(F)F.C(C)[N+]1=CSC=C1
1-ethyl-3-methylimidazolium trifluoromethanesulfonate,298.1,101.325,0.929,0.093,FC(S(=O)(=O)[O-])(F)F.C(C)N1C=[N+](C=C1)C
3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),298.1,101.325,0.27,0.03,FC(S(=O)(=O)[O-])(F)F.C(CCC)[N+]1=CN(C=C1)CC
1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,298.1,101.325,0.22,0.01,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C
1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,298.1,101.325,0.16,0.01,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C[N+]1(CCCC1)CCC
1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,299.1,101.325,0.84,0.08,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)N1C=[N+](C=C1)C
"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",299.1,101.325,0.34,0.03,FC(C(F)(F)F)(S(=O)(=O)NS(=O)(=O)C(C(F)(F)F)(F)F)F.C(C)N1C=[N+](C=C1)C
"1,2-dimethyl-3-propylimidazolium hexafluorophosphate",308.1,101.325,0.05,0.01,F[P-](F)(F)(F)(F)F.CN1C(=[N+](C=C1)CCC)C
"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",299.1,101.325,0.3,0.03,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.CN1C(=[N+](C=C1)CCC)C
1-ethyl-3-methylimidazolium tetrafluoroborate,299.1,101.325,1.3,0.1,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium hexafluorophosphate,299.1,101.325,0.52,0.05,F[P-](F)(F)(F)(F)F.C(C)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium hexafluorophosphate,273.5,101.325,0.031,0.003,F[P-](F)(F)(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium hexafluorophosphate,276.0,101.325,0.037,0.004,F[P-](F)(F)(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium hexafluorophosphate,278.0,101.325,0.042,0.004,F[P-](F)(F)(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium hexafluorophosphate,283.0,101.325,0.059,0.006,F[P-](F)(F)(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium hexafluorophosphate,288.0,101.325,0.082,0.008,F[P-](F)(F)(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium hexafluorophosphate,293.5,101.325,0.12,0.012,F[P-](F)(F)(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium hexafluorophosphate,298.5,101.325,0.158,0.016,F[P-](F)(F)(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium hexafluorophosphate,303.2,101.325,0.203,0.02,F[P-](F)(F)(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium hexafluorophosphate,308.5,101.325,0.243,0.024,F[P-](F)(F)(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium hexafluorophosphate,313.1,101.325,0.301,0.03,F[P-](F)(F)(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium hexafluorophosphate,318.0,101.325,0.37,0.037,F[P-](F)(F)(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium hexafluorophosphate,323.0,101.325,0.458,0.046,F[P-](F)(F)(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium hexafluorophosphate,327.8,101.325,0.545,0.055,F[P-](F)(F)(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium hexafluorophosphate,337.0,101.325,0.74,0.074,F[P-](F)(F)(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium hexafluorophosphate,349.5,101.325,1.061,0.11,F[P-](F)(F)(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium tetrafluoroborate,273.0,101.325,0.033,0.003,F[B-](F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium tetrafluoroborate,274.0,101.325,0.037,0.004,F[B-](F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium tetrafluoroborate,276.0,101.325,0.047,0.005,F[B-](F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium tetrafluoroborate,277.5,101.325,0.049,0.005,F[B-](F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium tetrafluoroborate,282.0,101.325,0.064,0.006,F[B-](F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium tetrafluoroborate,294.5,101.325,0.147,0.015,F[B-](F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium tetrafluoroborate,305.0,101.325,0.255,0.026,F[B-](F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium tetrafluoroborate,318.0,101.325,0.47,0.047,F[B-](F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium tetrafluoroborate,333.5,101.325,0.882,0.088,F[B-](F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium tetrafluoroborate,350.5,101.325,1.445,0.14,F[B-](F)(F)F.C(CCC)N1C=[N+](C=C1)C
trimethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,298.1,101.325,0.035,0.007,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C[N+](CCCCCCCC)(C)C
triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,298.1,101.325,0.067,0.005,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)[N+](CCCCCC)(CC)CC
triethylheptylammonium bis[(trifluoromethyl)sulfonyl]imide,298.1,101.325,0.051,0.003,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)[N+](CCCCCCC)(CC)CC
triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,298.1,101.325,0.033,0.002,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)[N+](CCCCCCCC)(CC)CC
tributylheptylammonium bis[(trifluoromethyl)sulfonyl]imide,298.1,101.325,0.016,0.001,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)[N+](CCCCCCC)(CCCC)CCCC
tributyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,298.1,101.325,0.013,0.003,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)[N+](CCCCCCCC)(CCCC)CCCC
ethylheptyl-di-(1-methylethyl)ammonium bis[(trifluoromethyl)sulfonyl]imide,298.1,101.325,0.031,0.0002,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)[N+](C(C)C)(C(C)C)CCCCCCC
"N,N,N-tributyloctan-1-aminium trifluoromethanesulfonate",298.1,101.325,0.0017,0.0002,FC(S(=O)(=O)[O-])(F)F.C(CCC)[N+](CCCCCCCC)(CCCC)CCCC
heptyltrimethylammonium bis[(trifluoromethyl)sulfonyl]imide,298.1,101.325,0.04,0.004,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCCC)[N+](C)(C)C
hexyltrimethylammonium bis[(trifluoromethyl)sulfonyl]imide,298.1,101.325,0.043,0.004,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)[N+](C)(C)C
tributylhexylammonium bis[(trifluoromethyl)sulfonyl]imide,298.1,101.325,0.016,0.002,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)[N+](CCCCCC)(CCCC)CCCC
1-butyl-3-methylimidazolium tetrafluoroborate,273.0,100.0,0.0784,0.0024,F[B-](F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium tetrafluoroborate,273.4,100.0,0.0776,0.0023,F[B-](F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium tetrafluoroborate,278.15,100.0,0.1064,0.0032,F[B-](F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium tetrafluoroborate,278.15,100.0,0.1116,0.0033,F[B-](F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium tetrafluoroborate,283.15,100.0,0.1466,0.0044,F[B-](F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium tetrafluoroborate,283.15,100.0,0.1556,0.0047,F[B-](F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium tetrafluoroborate,288.14,100.0,0.1987,0.006,F[B-](F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium tetrafluoroborate,288.15,100.0,0.1967,0.0059,F[B-](F)(F)F.C(CCC)N1C=[N+](C=C1)C
